Metadata_Well,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,TimepointName,SerialPassage_BatchNumber,AgeGroup,PassageNumber,Staining,Drug
B07,2,7,3,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,4,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,5,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,6,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,7,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,8,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,9,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,10,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,11,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,12,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,13,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,14,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,15,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,16,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,17,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,18,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,19,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,20,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,21,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,22,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,23,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,24,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,25,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,26,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,27,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,28,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,29,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,30,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
B07,2,7,31,SPB2 AG4 P17,2,4,17,EEA1-488 + ConA-594 + Tfn-647,None
